1 Valid EPE: 0.8070, F1: 2.2707, 1px: 0.8427, 3px: 0.9568, 5px: 0.9776, 0-1 0.10, 1-10 0.22, 10-20 0.36, 20-30 0.50, 30-inf 1.51
2 Valid EPE: 0.7343, F1: 2.0057, 1px: 0.8572, 3px: 0.9600, 5px: 0.9794, 0-1 0.08, 1-10 0.19, 10-20 0.31, 20-30 0.44, 30-inf 1.39
3 Valid EPE: 0.6507, F1: 1.5888, 1px: 0.8700, 3px: 0.9665, 5px: 0.9837, 0-1 0.07, 1-10 0.17, 10-20 0.28, 20-30 0.40, 30-inf 1.23
4 Valid EPE: 0.6135, F1: 1.4575, 1px: 0.8766, 3px: 0.9697, 5px: 0.9854, 0-1 0.06, 1-10 0.16, 10-20 0.27, 20-30 0.38, 30-inf 1.16
5 Valid EPE: 0.5998, F1: 1.4370, 1px: 0.8798, 3px: 0.9707, 5px: 0.9859, 0-1 0.06, 1-10 0.15, 10-20 0.26, 20-30 0.37, 30-inf 1.13

env CUDA_VISIBLE_DEVICES=0,2,3 python3 train.py --name craft-kitti --stage kitti --validation kitti --output results/kitti/craft-f2full-sym --restore_ckpt results/sintel/craft-f2full-sym/craft-sintel.pth --num_steps 50000 --lr 0.000125 --image_size 288 960 --wdecay 0.00001 --gamma 0.85 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision --craft --f2 full --setrans --f1 sym --gpus 0 1 2
Time: 04011023
Args:
Namespace(add_noise=False, batch_size=6, clip=1.0, corr_radius=4, craft=True, ddp=False, dropout=0.0, epsilon=1e-08, f1trans='sym', f2_attn_mask_radius=-1, f2_num_modes=4, f2_pos_code_weight=0.5, f2trans='full', freeze_bn=False, gamma=0.85, gpus=[0, 1, 2], image_size=[288, 960], inter_num_modes=4, inter_pos_code_type='bias', inter_pos_code_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_code_type='bias', intra_pos_code_weight=1.0, iters=12, load_optimizer_state=False, load_scheduler_state=False, lr=0.000125, mixed_precision=True, model_name='', name='craft-kitti', nogma=False, num_heads=1, num_steps=50000, num_workers=4, output='results/kitti/craft-f2full-sym', pos_bias_radius=7, position_and_content=False, position_only=False, print_freq=100, raft=False, restore_ckpt='results/sintel/craft-f2full-sym/craft-sintel.pth', shift_aug_prob=0.0, shift_sigmas=[16, 10], stage='kitti', upsample_learn=False, use_setrans=True, val_freq=10000, validation=['kitti'], wdecay=1e-05)
Lookup radius: 4
Inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'trans_output_type': 'private', 'act_fun': <built-in function gelu>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'drop_path_prob': 0, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'attn_mask_radius': -1, 'pos_bias_radius': 7, 'max_pos_size': 160}
Inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Positional biases weight: 0.5
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/functional.py:599: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2315.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2 transformer-out_trans: v_has_bias: False, has_FFN: False, has_input_skip: True
F2 transformer: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: False
Positional biases weight: 0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2-trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': None, 'trans_output_type': 'private', 'act_fun': <built-in function gelu>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'drop_path_prob': 0, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': False, 'attn_mask_radius': -1, 'pos_bias_radius': 7, 'has_input_skip': True, 'has_FFN': False}
Intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional biases weight: 1.0
Sliding-window Positional Biases, r: 7, max size: (200, 200)
Intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_code_weight': 1.0, 'num_modes': 4, 'tie_qk_scheme': None, 'trans_output_type': 'private', 'act_fun': <built-in function gelu>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'drop_path_prob': 0, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'attn_mask_radius': -1, 'pos_bias_radius': 7, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 6307435
kitti-training: 200 image pairs.
Training with 200 image pairs
Model checkpoint loaded from results/sintel/craft-f2full-sym/craft-sintel.pth: <All keys matched successfully>.
Optimizer state NOT loaded.
Scheduler state NOT loaded.
Logger NOT loaded.
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1581: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000097]     0.7859,     0.9318,     0.9607,     1.2246,    10h50m
[   200,  0.0000145]     0.7860,     0.9338,     0.9616,     1.2177,    09h18m
[   300,  0.0000193]     0.7878,     0.9331,     0.9610,     1.2291,    09h18m
[   400,  0.0000241]     0.7907,     0.9356,     0.9633,     1.1796,    09h17m
[   500,  0.0000289]     0.7903,     0.9347,     0.9622,     1.1908,    09h16m
[   600,  0.0000337]     0.8006,     0.9379,     0.9640,     1.1530,    09h13m
[   700,  0.0000385]     0.7977,     0.9381,     0.9644,     1.1865,    09h12m
[   800,  0.0000433]     0.7964,     0.9368,     0.9643,     1.1289,    09h12m
[   900,  0.0000481]     0.8057,     0.9419,     0.9670,     1.0952,    09h12m
[  1000,  0.0000529]     0.8016,     0.9419,     0.9678,     1.0725,    09h45m
[  1100,  0.0000577]     0.8052,     0.9422,     0.9673,     1.1005,    09h46m
[  1200,  0.0000625]     0.8044,     0.9404,     0.9660,     1.1128,    09h08m
[  1300,  0.0000673]     0.8055,     0.9426,     0.9682,     1.0681,    09h06m
[  1400,  0.0000720]     0.8118,     0.9430,     0.9668,     1.0839,    09h06m
[  1500,  0.0000768]     0.8079,     0.9412,     0.9671,     1.0559,    09h04m
[  1600,  0.0000816]     0.8136,     0.9438,     0.9689,     1.0368,    09h03m
[  1700,  0.0000864]     0.8111,     0.9441,     0.9687,     1.0347,    09h02m
[  1800,  0.0000912]     0.8106,     0.9412,     0.9665,     1.0531,    09h03m
[  1900,  0.0000960]     0.8170,     0.9469,     0.9706,     0.9883,    09h01m
[  2000,  0.0001008]     0.8137,     0.9440,     0.9685,     1.0175,    08h59m
[  2100,  0.0001056]     0.8117,     0.9420,     0.9681,     1.0357,    08h57m
[  2200,  0.0001104]     0.8204,     0.9475,     0.9706,     1.0934,    08h56m
[  2300,  0.0001152]     0.8128,     0.9441,     0.9690,     1.0278,    08h55m
[  2400,  0.0001200]     0.8129,     0.9450,     0.9698,     1.0031,    08h53m
[  2500,  0.0001248]     0.8187,     0.9453,     0.9692,     0.9951,    08h53m
[  2600,  0.0001248]     0.8158,     0.9456,     0.9700,     0.9828,    08h52m
[  2700,  0.0001245]     0.8217,     0.9487,     0.9721,     0.9450,    08h50m
[  2800,  0.0001242]     0.8263,     0.9491,     0.9725,     0.9329,    08h50m
[  2900,  0.0001240]     0.8208,     0.9465,     0.9702,     0.9646,    08h48m
[  3000,  0.0001237]     0.8272,     0.9496,     0.9726,     0.9169,    08h48m
[  3100,  0.0001234]     0.8243,     0.9475,     0.9705,     0.9703,    08h45m
[  3200,  0.0001232]     0.8265,     0.9499,     0.9728,     0.9078,    08h45m
[  3300,  0.0001229]     0.8311,     0.9515,     0.9737,     0.8946,    08h43m
[  3400,  0.0001226]     0.8279,     0.9488,     0.9718,     0.9176,    08h43m
[  3500,  0.0001224]     0.8319,     0.9529,     0.9746,     0.8959,    08h42m
[  3600,  0.0001221]     0.8274,     0.9487,     0.9723,     0.9167,    08h41m
[  3700,  0.0001219]     0.8347,     0.9524,     0.9744,     0.8675,    08h40m
[  3800,  0.0001216]     0.8302,     0.9513,     0.9738,     0.8955,    08h37m
[  3900,  0.0001213]     0.8305,     0.9513,     0.9735,     0.8896,    08h37m
[  4000,  0.0001211]     0.8339,     0.9540,     0.9760,     0.8469,    08h36m
[  4100,  0.0001208]     0.8360,     0.9541,     0.9759,     0.8522,    08h34m
[  4200,  0.0001205]     0.8363,     0.9526,     0.9745,     0.8782,    08h34m
[  4300,  0.0001203]     0.8368,     0.9541,     0.9756,     0.8613,    08h33m
[  4400,  0.0001200]     0.8415,     0.9561,     0.9771,     0.8146,    08h31m
[  4500,  0.0001198]     0.8445,     0.9553,     0.9756,     0.8386,    08h30m
[  4600,  0.0001195]     0.8401,     0.9561,     0.9767,     0.8257,    08h29m
[  4700,  0.0001192]     0.8401,     0.9561,     0.9769,     0.8250,    08h28m
[  4800,  0.0001190]     0.8481,     0.9575,     0.9770,     0.7992,    08h26m
[  4900,  0.0001187]     0.8396,     0.9556,     0.9763,     0.8254,    08h26m
[  5000,  0.0001184]     0.8452,     0.9571,     0.9772,     0.8031,    08h26m
[  5100,  0.0001182]     0.8479,     0.9596,     0.9791,     0.7774,    08h23m
[  5200,  0.0001179]     0.8470,     0.9574,     0.9772,     0.7974,    08h22m
[  5300,  0.0001177]     0.8405,     0.9553,     0.9763,     0.8305,    08h21m
[  5400,  0.0001174]     0.8455,     0.9561,     0.9762,     0.8041,    08h20m
[  5500,  0.0001171]     0.8455,     0.9571,     0.9772,     0.7972,    08h20m
[  5600,  0.0001169]     0.8487,     0.9579,     0.9776,     0.7979,    08h18m
[  5700,  0.0001166]     0.8463,     0.9566,     0.9768,     0.8029,    08h19m
[  5800,  0.0001163]     0.8508,     0.9597,     0.9786,     0.7858,    08h16m
[  5900,  0.0001161]     0.8486,     0.9577,     0.9776,     0.7943,    08h14m
[  6000,  0.0001158]     0.8521,     0.9608,     0.9802,     0.7576,    08h15m
[  6100,  0.0001156]     0.8476,     0.9573,     0.9773,     0.7979,    08h12m
[  6200,  0.0001153]     0.8532,     0.9599,     0.9792,     0.7732,    08h11m
[  6300,  0.0001150]     0.8496,     0.9597,     0.9793,     0.7646,    08h10m
[  6400,  0.0001148]     0.8507,     0.9595,     0.9791,     0.7576,    08h10m
[  6500,  0.0001145]     0.8515,     0.9600,     0.9789,     0.7624,    08h09m
[  6600,  0.0001142]     0.8555,     0.9606,     0.9793,     0.7566,    08h07m
[  6700,  0.0001140]     0.8538,     0.9600,     0.9790,     0.7535,    08h05m
[  6800,  0.0001137]     0.8481,     0.9573,     0.9777,     0.7826,    08h05m
[  6900,  0.0001135]     0.8512,     0.9593,     0.9787,     0.7631,    08h04m
[  7000,  0.0001132]     0.8550,     0.9623,     0.9803,     0.7424,    08h02m
[  7100,  0.0001129]     0.8559,     0.9617,     0.9801,     0.7369,    08h02m
[  7200,  0.0001127]     0.8576,     0.9620,     0.9803,     0.7394,    08h00m
[  7300,  0.0001124]     0.8571,     0.9617,     0.9801,     0.7448,    07h59m
[  7400,  0.0001121]     0.8553,     0.9611,     0.9800,     0.7379,    07h58m
[  7500,  0.0001119]     0.8592,     0.9634,     0.9814,     0.7163,    07h59m
[  7600,  0.0001116]     0.8568,     0.9623,     0.9807,     0.7363,    07h57m
[  7700,  0.0001114]     0.8532,     0.9609,     0.9799,     0.7441,    07h55m
[  7800,  0.0001111]     0.8589,     0.9635,     0.9814,     0.7074,    07h53m
[  7900,  0.0001108]     0.8559,     0.9613,     0.9801,     0.7231,    07h53m
[  8000,  0.0001106]     0.8602,     0.9626,     0.9808,     0.7114,    07h51m
[  8100,  0.0001103]     0.8561,     0.9621,     0.9806,     0.7310,    07h50m
