env CUDA_VISIBLE_DEVICES=2,3 python train.py --name setrans-chairs --stage chairs --validation chairs --output results/chairs/setrans --num_steps 120000 --lr 0.00025 --image_size 368 496 --wdecay 0.0001 --gpus 0 1 --batch_size 8 --val_freq 10000 --print_freq 100 --mixed_precision --setrans

intra-frame attention: pool_modes_feat=softmax, mid_type=shared, trans_output_type=private
intra-frame attention in_feat_dim: 128, feat_dim: 128
Learnable Sinusoidal positional encoding
Motion Aggregator: pool_modes_feat=softmax, mid_type=shared, trans_output_type=private
Parameter Count: 5848515
Training with 22232 image pairs
train.py:169: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
train.py:97: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  time_left_sec = time_left_sec.astype(np.int)
[   100,  0.0000140]     0.0395,     0.2352,     0.3827,    17.0888,    08h55m31s
[   200,  0.0000180]     0.0528,     0.2937,     0.4539,    14.0629,    07h31m27s
[   300,  0.0000220]     0.0385,     0.2216,     0.3773,    15.0022,    07h30m55s
[   400,  0.0000259]     0.0252,     0.1775,     0.3527,    14.0909,    07h29m08s
[   500,  0.0000299]     0.0349,     0.2205,     0.4036,    12.2338,    07h27m04s
[   600,  0.0000339]     0.0500,     0.2902,     0.4825,    11.4937,    07h28m31s
[   700,  0.0000379]     0.0799,     0.3716,     0.5531,    10.2117,    07h26m05s
[   800,  0.0000419]     0.1061,     0.4419,     0.6174,     9.5671,    07h26m36s
[   900,  0.0000459]     0.1310,     0.4777,     0.6310,     9.4642,    07h27m21s
[  1000,  0.0000499]     0.1603,     0.5129,     0.6630,     9.2928,    07h26m38s
[  1100,  0.0000539]     0.1773,     0.5345,     0.6760,     8.8403,    07h26m11s
[  1200,  0.0000579]     0.2155,     0.5803,     0.7130,     8.0209,    07h25m40s
[  1300,  0.0000619]     0.2511,     0.6047,     0.7241,     8.3204,    07h23m52s
[  1400,  0.0000659]     0.2474,     0.5942,     0.7097,     8.4413,    07h23m32s
[  1500,  0.0000699]     0.3050,     0.6501,     0.7534,     7.5865,    07h23m15s
[  1600,  0.0000739]     0.3115,     0.6457,     0.7492,     7.8300,    07h24m03s
[  1700,  0.0000779]     0.3341,     0.6549,     0.7534,     7.8345,    07h23m36s
[  1800,  0.0000819]     0.3923,     0.6972,     0.7853,     6.7535,    07h23m15s
[  1900,  0.0000859]     0.3877,     0.6962,     0.7873,     6.6052,    07h22m23s
[  2000,  0.0000899]     0.4244,     0.7086,     0.7884,     7.3279,    07h21m39s
[  2100,  0.0000939]     0.4436,     0.7207,     0.7982,     6.7562,    07h22m30s
[  2200,  0.0000979]     0.4765,     0.7395,     0.8134,     6.3004,    07h21m45s
